big_type,big_code,mid_type,mid_code,small_type,small_code
技术,100000,后端开发,100100,Java,100101
技术,100000,后端开发,100100,C++,100102
技术,100000,后端开发,100100,PHP,100103
技术,100000,后端开发,100100,C,100105
技术,100000,后端开发,100100,C#,100106
技术,100000,后端开发,100100,.NET,100107
技术,100000,后端开发,100100,Hadoop,100108
技术,100000,后端开发,100100,Python,100109
技术,100000,后端开发,100100,Delphi,100110
技术,100000,后端开发,100100,VB,100111
技术,100000,后端开发,100100,Perl,100112
技术,100000,后端开发,100100,Ruby,100113
技术,100000,后端开发,100100,Node.js,100114
技术,100000,后端开发,100100,Golang,100116
技术,100000,后端开发,100100,Erlang,100119
技术,100000,后端开发,100100,语音/视频/图形开发,100121
技术,100000,后端开发,100100,数据采集,100122
技术,100000,后端开发,100100,全栈工程师,100123
技术,100000,后端开发,100100,GIS工程师,100124
技术,100000,后端开发,100100,后端开发,100199
技术,100000,移动开发,100200,技术美术,100212
技术,100000,移动开发,100200,HTML5,100201
技术,100000,移动开发,100200,Android,100202
技术,100000,移动开发,100200,iOS,100203
技术,100000,移动开发,100200,移动web前端,100205
技术,100000,移动开发,100200,Flash开发,100206
技术,100000,移动开发,100200,JavaScript,100208
技术,100000,移动开发,100200,U3D,100209
技术,100000,移动开发,100200,Cocos,100210
技术,100000,移动开发,100200,UE4,100211
技术,100000,移动开发,100200,移动开发,100299
技术,100000,测试,100300,测试工程师,100301
技术,100000,测试,100300,自动化测试,100302
技术,100000,测试,100300,功能测试,100303
技术,100000,测试,100300,性能测试,100304
技术,100000,测试,100300,测试开发,100305
技术,100000,测试,100300,移动端测试,100306
技术,100000,测试,100300,游戏测试,100307
技术,100000,测试,100300,硬件测试,100308
技术,100000,测试,100300,软件测试,100309
技术,100000,测试,100300,渗透测试,100310
技术,100000,运维/技术支持,100400,运维工程师,100401
技术,100000,运维/技术支持,100400,运维开发工程师,100402
技术,100000,运维/技术支持,100400,网络工程师,100403
技术,100000,运维/技术支持,100400,系统工程师,100404
技术,100000,运维/技术支持,100400,IT技术支持,100405
技术,100000,运维/技术支持,100400,系统管理员,100406
技术,100000,运维/技术支持,100400,网络安全,100407
技术,100000,运维/技术支持,100400,系统安全,100408
技术,100000,运维/技术支持,100400,DBA,100409
技术,100000,数据,100500,数据,100599
技术,100000,数据,100500,ETL工程师,100506
技术,100000,数据,100500,数据仓库,100507
技术,100000,数据,100500,数据开发,100508
技术,100000,数据,100500,数据挖掘,100509
技术,100000,数据,100500,数据分析师,100511
技术,100000,数据,100500,数据架构师,100512
技术,100000,项目管理,100600,项目经理/主管,100601
技术,100000,项目管理,100600,项目助理,100603
技术,100000,项目管理,100600,项目专员,100604
技术,100000,项目管理,100600,实施顾问,100605
技术,100000,项目管理,100600,实施工程师,100606
技术,100000,项目管理,100600,需求分析工程师,100607
技术,100000,项目管理,100600,硬件项目经理,100817
技术,100000,硬件开发,100800,光学工程师,100818
技术,100000,硬件开发,100800,硬件工程师,100801
技术,100000,硬件开发,100800,嵌入式,100802
技术,100000,硬件开发,100800,自动化,100803
技术,100000,硬件开发,100800,单片机,100804
技术,100000,硬件开发,100800,电路设计,100805
技术,100000,硬件开发,100800,驱动开发,100806
技术,100000,硬件开发,100800,系统集成,100807
技术,100000,硬件开发,100800,FPGA开发,100808
技术,100000,硬件开发,100800,DSP开发,100809
技术,100000,硬件开发,100800,ARM开发,100810
技术,100000,硬件开发,100800,PCB工艺,100811
技术,100000,硬件开发,100800,射频工程师,100816
技术,100000,前端开发,100900,前端开发,100999
技术,100000,前端开发,100900,web前端,100901
技术,100000,前端开发,100900,JavaScript,100902
技术,100000,前端开发,100900,Flash开发,100903
技术,100000,前端开发,100900,HTML5,100904
技术,100000,通信,101000,通信技术工程师,101001
技术,100000,通信,101000,通信研发工程师,101002
技术,100000,通信,101000,数据通信工程师,101003
技术,100000,通信,101000,移动通信工程师,101004
技术,100000,通信,101000,电信网络工程师,101005
技术,100000,通信,101000,电信交换工程师,101006
技术,100000,通信,101000,有线传输工程师,101007
技术,100000,通信,101000,无线/射频通信工程师,101008
技术,100000,通信,101000,通信电源工程师,101009
技术,100000,通信,101000,通信标准化工程师,101010
技术,100000,通信,101000,通信项目专员,101011
技术,100000,通信,101000,通信项目经理,101012
技术,100000,通信,101000,核心网工程师,101013
技术,100000,通信,101000,通信测试工程师,101014
技术,100000,通信,101000,通信设备工程师,101015
技术,100000,通信,101000,光通信工程师,101016
技术,100000,通信,101000,光传输工程师,101017
技术,100000,通信,101000,光网络工程师,101018
技术,100000,电子/半导体,101400,电气工程师,101402
技术,100000,电子/半导体,101400,电气设计工程师,101404
技术,100000,电子/半导体,101400,电子工程师,101401
技术,100000,电子/半导体,101400,集成电路IC设计,101405
技术,100000,电子/半导体,101400,FAE,101403
技术,100000,电子/半导体,101400,IC验证工程师,101406
技术,100000,高端技术职位,100700,高端技术职位,100799
技术,100000,高端技术职位,100700,技术经理,100701
技术,100000,高端技术职位,100700,技术总监,100702
技术,100000,高端技术职位,100700,测试经理,100703
