url,title,content,contentHtml,type
http://hetong.110.com/hetong_12454.html,银行承兑协议,"编号　　　　┌──────────────────────────────────┐
　　│　　银行承兑汇票的内容：　　　　　　　　　　　　　　　　　　　　　　│
　　│　　收款人全称＿＿＿＿付款人全称＿＿＿＿　　　　　　　　　　　　　　│
　　│　　开户银行＿＿＿＿＿开户银行＿＿＿＿＿　　　　　　　　　　　　　　│
　　│　　帐　　号＿＿＿＿＿帐　　号＿＿＿＿＿　　　　　　　　　　　　　　│
　　│　　汇票号码＿＿＿＿＿汇票金额(大写)＿＿　　　　　　　　　　　　　　│
　　│签发日期＿＿＿年＿＿月＿＿日　　到期日期＿＿＿年＿＿月＿＿日　　　　│
　　│　　以上汇票经承兑银行承兑，承兑申请人（下称申请人）愿遵守《银行结算│
　　│办法》的规定以及下列条款：　　　　　　　　　　　　　　　　　　　　　│
　　│　　一、申请人于汇票到期日前将应付票款足额交存承兑银行。　　　　　　│
　　│　　二、承兑手续费按票面金额千分之（　）计划，在银行承兑时一次付清。│
　　│　　三、承兑汇票如发生任何交易纠纷，均由收付双方自行处理，票款于到期│
　　│前仍按第一条办理。　　　　　　　　　　　　　　　　　　　　　　　　　│
　　│　　四、承兑汇票到期日，承兑银行凭票无条件支付票款。如到期日之前申请│
　　│人不能足额交付票款时，承兑银行对不足支付票款转作承兑申请逾期贷款，并│
　　│按照有关规定计收罚息。　　　　　　　　　　　　　　　　　　　　　　　│
　　│　　五、承兑汇票款付清后，本协议自动失效。本协议第一、二联分别由承兑│
　　│银行信贷部门和承兑申请人存执，协议副本由承兑银行会计部门存查。　　　│
　　│　　承兑申请人＿＿＿（盖章）　承兑银行＿＿＿（盖章）　　　　　　　　│
　　│　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　│
　　│　　订立承兑协议日期　　年　　月　　日　　　　　　　　　　　　　　　│
　　└──────────────────────────────                         ────┘","<div id=""articleBody""> 
<div >
</div>　　　　　　　　　　　　　　编号<br/>　　<br/>　　┌──────────────────────────────────┐&#13;
<br/>　　│　　银行承兑汇票的内容：　　　　　　　　　　　　　　　　　　　　　　│&#13;
<br/>　　│　　收款人全称＿＿＿＿付款人全称＿＿＿＿　　　　　　　　　　　　　　│&#13;
<br/>　　│　　开户银行＿＿＿＿＿开户银行＿＿＿＿＿　　　　　　　　　　　　　　│&#13;
<br/>　　│　　帐　　号＿＿＿＿＿帐　　号＿＿＿＿＿　　　　　　　　　　　　　　│&#13;
<br/>　　│　　汇票号码＿＿＿＿＿汇票金额(大写)＿＿　　　　　　　　　　　　　　│&#13;
<br/>　　│签发日期＿＿＿年＿＿月＿＿日　　到期日期＿＿＿年＿＿月＿＿日　　　　│&#13;
<br/>　　│　　以上汇票经承兑银行承兑，承兑申请人（下称申请人）愿遵守《银行结算│&#13;
<br/>　　│办法》的规定以及下列条款：　　　　　　　　　　　　　　　　　　　　　│&#13;
<br/>　　│　　一、申请人于汇票到期日前将应付票款足额交存承兑银行。　　　　　　│&#13;
<br/>　　│　　二、承兑手续费按票面金额千分之（　）计划，在银行承兑时一次付清。│&#13;
<br/>　　│　　三、承兑汇票如发生任何交易纠纷，均由收付双方自行处理，票款于到期│&#13;
<br/>　　│前仍按第一条办理。　　　　　　　　　　　　　　　　　　　　　　　　　│&#13;
<br/>　　│　　四、承兑汇票到期日，承兑银行凭票无条件支付票款。如到期日之前申请│&#13;
<br/>　　│人不能足额交付票款时，承兑银行对不足支付票款转作承兑申请逾期贷款，并│&#13;
<br/>　　│按照有关规定计收罚息。　　　　　　　　　　　　　　　　　　　　　　　│&#13;
<br/>　　│　　五、承兑汇票款付清后，本协议自动失效。本协议第一、二联分别由承兑│&#13;
<br/>　　│银行信贷部门和承兑申请人存执，协议副本由承兑银行会计部门存查。　　　│&#13;
<br/>　　│　　承兑申请人＿＿＿（盖章）　承兑银行＿＿＿（盖章）　　　　　　　　│&#13;
<br/>　　│　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　│&#13;
<br/>　　│　　订立承兑协议日期　　年　　月　　日　　　　　　　　　　　　　　　│&#13;
<br/>　　└──────────────────────────────<u>                         </u>────┘&#13;
<br/>　　<br/><br/></div>",<class 'dict'>
http://hetong.110.com/hetong_17592.html,保险居间合约,合约书编号：__________　　立合约书人：__________保险代理人股份有限公司（以下称甲方）　　 __________先生/女士（以下称乙方）　　兹因乙方同意为甲方报告订立保险契约之机会，双方依诚实信用原则订立居间合约如下：　　第一条　合意事项　　双方依本合约之约定成立居间关系，不适用其它劳务关系相关约定或规定，乙方同意为甲方寻觅及指示可与其签订保险契约之相对人，而提供签约之机会。　　第二条　居间报酬　　保险契约因乙方之居间而成立生效，并逾契约撤销期限确定生效后，乙方始得按甲方之相关报酬标准支领报酬。　　第三条　合约期间　　本合约自甲方完成相关程序并核定生效日起生效，乙方无异议同意以甲方核定之生效日为准。本合约以个__________月为一期，每期届满后一个月内如乙方无异议则视同续约。　　第四条　权利义务　　双方同意遵守本合约之规定，乙方倘有违反本合约及其它相关办法之约定，或为本合约约定范围外之行为，致损及甲方或第三人权益时，应负损害赔偿责任。　　第五条　合意管辖　　甲乙双方同意如因本合约而发生诉讼时，以__________法院为第一审管辖法院。　　第六条　其它约定　　本合约之条款及甲方所订其它相关办法均为本居间合约之构成部份。　　本合约未尽事宜，悉依中华民国相关法令规章办理。　　　　甲方：__________ 保险代理人股份有限公司　　代表人：__________　　地址：__________　　通讯地址：__________　　　　乙方：__________（业务居间人）　　身份证字号： __________　　　户籍地址： __________　　通讯地址： __________　　　　__________年__________月__________日,"<div id=""articleBody""> 
<div >
</div>合约书编号：__________　　立合约书人：__________保险代理人股份有限公司（以下称甲方）　　 __________先生/女士（以下称乙方）　　兹因乙方同意为甲方报告订立保险契约之机会，双方依诚实信用原则订立居间合约如下：　　第一条　合意事项　　双方依本合约之约定成立居间关系，不适用其它劳务关系相关约定或规定，乙方同意为甲方寻觅及指示可与其签订保险契约之相对人，而提供签约之机会。　　第二条　居间报酬　　保险契约因乙方之居间而成立生效，并逾契约撤销期限确定生效后，乙方始得按甲方之相关报酬标准支领报酬。　　第三条　合约期间　　本合约自甲方完成相关程序并核定生效日起生效，乙方无异议同意以甲方核定之生效日为准。本合约以个__________月为一期，每期届满后一个月内如乙方无异议则视同续约。　　第四条　权利义务　　双方同意遵守本合约之规定，乙方倘有违反本合约及其它相关办法之约定，或为本合约约定范围外之行为，致损及甲方或第三人权益时，应负损害赔偿责任。　　第五条　合意管辖　　甲乙双方同意如因本合约而发生诉讼时，以__________法院为第一审管辖法院。　　第六条　其它约定　　本合约之条款及甲方所订其它相关办法均为本居间合约之构成部份。　　本合约未尽事宜，悉依中华民国相关法令规章办理。　　　　甲方：__________ 保险代理人股份有限公司　　代表人：__________　　地址：__________　　通讯地址：__________　　　　乙方：__________（业务居间人）　　身份证字号： __________　　　户籍地址： __________　　通讯地址： __________　　　　__________年__________月__________日</div>",<class 'dict'>
http://hetong.110.com/hetong_17103.html,保险居间合约,合约书编号：__________　　立合约书人：__________保险代理人股份有限公司（以下称甲方）　　 __________先生/女士（以下称乙方）　　兹因乙方同意为甲方报告订立保险契约之机会，双方依诚实信用原则订立居间合约如下：　　第一条　合意事项　　双方依本合约之约定成立居间关系，不适用其它劳务关系相关约定或规定，乙方同意为甲方寻觅及指示可与其签订保险契约之相对人，而提供签约之机会。　　第二条　居间报酬　　保险契约因乙方之居间而成立生效，并逾契约撤销期限确定生效后，乙方始得按甲方之相关报酬标准支领报酬。　　第三条　合约期间　　本合约自甲方完成相关程序并核定生效日起生效，乙方无异议同意以甲方核定之生效日为准。本合约以个__________月为一期，每期届满后一个月内如乙方无异议则视同续约。　　第四条　权利义务　　双方同意遵守本合约之规定，乙方倘有违反本合约及其它相关办法之约定，或为本合约约定范围外之行为，致损及甲方或第三人权益时，应负损害赔偿责任。　　第五条　合意管辖　　甲乙双方同意如因本合约而发生诉讼时，以__________法院为第一审管辖法院。　　第六条　其它约定　　本合约之条款及甲方所订其它相关办法均为本居间合约之构成部份。　　本合约未尽事宜，悉依中华民国相关法令规章办理。　　　　甲方：__________ 保险代理人股份有限公司　　代表人：__________　　地址：__________　　通讯地址：__________　　　　乙方：__________（业务居间人）　　身份证字号： __________　　　户籍地址： __________　　通讯地址： __________　　　　__________年__________月__________日,"<div id=""articleBody""> 
<div >
</div><span >合约书编号：__________</span><br/><span >　　立合约书人：__________保险代理人股份有限公司（以下称甲方）</span><br/><span >　　 __________先生/女士（以下称乙方）</span><br/><span >　　兹因乙方同意为甲方报告订立保险契约之机会，双方依诚实信用原则订立居间合约如下：</span><br/><span >　　</span><strong >第一条</strong><span >　合意事项</span><br/><span >　　双方依本合约之约定成立居间关系，不适用其它劳务关系相关约定或规定，乙方同意为甲方寻觅及指示可与其签订保险契约之相对人，而提供签约之机会。</span><br/><span >　　</span><strong >第二条</strong><span >　居间报酬</span><br/><span >　　保险契约因乙方之居间而成立生效，并逾契约撤销期限确定生效后，乙方始得按甲方之相关报酬标准支领报酬。</span><br/><span >　　</span><strong >第三条</strong><span >　合约期间</span><br/><span >　　本合约自甲方完成相关程序并核定生效日起生效，乙方无异议同意以甲方核定之生效日为准。本合约以个__________月为一期，每期届满后一个月内如乙方无异议则视同续约。</span><br/><span >　　</span><strong >第四条</strong><span >　权利义务</span><br/><span >　　双方同意遵守本合约之规定，乙方倘有违反本合约及其它相关办法之约定，或为本合约约定范围外之行为，致损及甲方或第三人权益时，应负损害赔偿责任。</span><br/><span >　　</span><strong >第五条</strong><span >　合意管辖</span><br/><span >　　甲乙双方同意如因本合约而发生诉讼时，以__________法院为第一审管辖法院。</span><br/><span >　　</span><strong >第六条</strong><span >　其它约定</span><br/><span >　　本合约之条款及甲方所订其它相关办法均为本居间合约之构成部份。</span><br/><span >　　本合约未尽事宜，悉依中华民国相关法令规章办理。</span><br/><span >　　</span><br/><span >　　甲方：__________ 保险代理人股份有限公司</span><br/><span >　　代表人：__________</span><br/><span >　　地址：__________</span><br/><span >　　通讯地址：__________　　</span><br/><span >　　乙方：__________（业务居间人）</span><br/><span >　　身份证字号： __________　</span><br/><span >　　户籍地址： __________</span><br/><span >　　通讯地址： __________　　</span><br/><span >　　__________年__________月__________日</span></div>",<class 'dict'>
http://hetong.110.com/hetong_17588.html,中国人民保险公司运输保险凭证,本公司依照国内货物运输保险条款的规定，对下列货物名称、金额等承保运输险：　　　　被保险人：　　　　　　　投保人：　　　　┌──────┬─────┬─────┬───────┬───┬───┐　　│　　　　　　│　　　　　│　　　　　│　 保险费率　 │　　　│　　　│　　│　货票号码　│ 货物名称 │ 保险金额 ├───┬───┤保险费│目的地│　　│　　　　　　│　　　　　│　　　　　│基本险│综合险│　　　│　　　│　　├──────┼─────┼─────┼───┼───┼───┼───┤　　│　　　　　　│　　　　　│　　　　　│　‰　│　‰　│　　　│　　　│　　└──────┴─────┴─────┴───┴───┴───┴───┘　　　　　　　　　　　　　　　　　　　　　　　　　　　保险公司签章　　　　　　　　　　　　　　　　　　　　　　　　　年　　月　　日　　如遇出险，请凭有关单证及本证抄件报当地保险公司处理。,"<div id=""articleBody""> 
<div >
</div>本公司依照国内货物运输保险条款的规定，对下列货物名称、金额等承保运输险：　　　　被保险人：　　　　　　　投保人：　　　　┌──────┬─────┬─────┬───────┬───┬───┐　　│　　　　　　│　　　　　│　　　　　│　 保险费率　 │　　　│　　　│　　│　货票号码　│ 货物名称 │ 保险金额 ├───┬───┤保险费│目的地│　　│　　　　　　│　　　　　│　　　　　│基本险│综合险│　　　│　　　│　　├──────┼─────┼─────┼───┼───┼───┼───┤　　│　　　　　　│　　　　　│　　　　　│　‰　│　‰　│　　　│　　　│　　└──────┴─────┴─────┴───┴───┴───┴───┘　　　　　　　　　　　　　　　　　　　　　　　　　　　保险公司签章　　　　　　　　　　　　　　　　　　　　　　　　　年　　月　　日　　如遇出险，请凭有关单证及本证抄件报当地保险公司处理。</div>",<class 'dict'>
