url,title,content,contentHtml,type
http://hetong.110.com/hetong_17831.html,债券结算合同,甲方：_________公司　　　　乙方：_________公司　　　　丙方：_________公司　　　　鉴于：　　1．甲乙双方于_________年_________月_________日签订《_________债券认购合同》，约定乙方于_________年_________月之前购买甲方发行的债券总计人民币_________元，年利率_________％，期限_________年。　　2．乙方与丙方于_________年_________月_________日签订《转让协议》，将持有的_________元债券及其收益权转让给丙方，转让完成后，丙方委托乙方管理该_________元债券。　　3．甲方已向乙方和丙方支付了部分款项。　　4．丙方所持债券未届偿付期限，但因清算须于_________年予以清结。　　　　甲、乙、丙三方就提前清结前述债券事宜，经协商一致，达成本合同。　　第一条　甲方同意丙方提前清结其持有的_________元债券；　　第二条　甲方向丙方支付_________元清结乙、丙方_________元债券本息；　　第三条　甲方和丙方各自办理其在本次债券清结中所需的有关部门批准手续；　　第四条　签订本合同之日起_________日内，甲方将_________元一次性汇入丙方指定的银行帐户；　　第五条　履行本合同发生争议，各方应友好协商解决；协商不成，任何一方可提交_________市仲裁委员会按该会规则仲裁；　　第六条　本合同正本一式_________份，三方各执_________份；　　第七条　本合同自三方签字盖章之日起生效。　　　　甲方（盖章）：_________　　　　　　　　乙方（盖章）：_________　　　　授权代表（签字）：_________　　　　　　授权代表（签字）：_________　　　　_________年____月____日　　　　　　　　_________年____月____日　　　　丙方（盖章）：_________　　　　授权代表（签字）：_________　　　　_________年____月____日,"<div id=""articleBody""> 
<div >
</div>甲方：_________公司　　　　乙方：_________公司　　　　丙方：_________公司　　　　鉴于：　　1．甲乙双方于_________年_________月_________日签订《_________债券认购合同》，约定乙方于_________年_________月之前购买甲方发行的债券总计人民币_________元，年利率_________％，期限_________年。　　2．乙方与丙方于_________年_________月_________日签订《转让协议》，将持有的_________元债券及其收益权转让给丙方，转让完成后，丙方委托乙方管理该_________元债券。　　3．甲方已向乙方和丙方支付了部分款项。　　4．丙方所持债券未届偿付期限，但因清算须于_________年予以清结。　　　　甲、乙、丙三方就提前清结前述债券事宜，经协商一致，达成本合同。　　第一条　甲方同意丙方提前清结其持有的_________元债券；　　第二条　甲方向丙方支付_________元清结乙、丙方_________元债券本息；　　第三条　甲方和丙方各自办理其在本次债券清结中所需的有关部门批准手续；　　第四条　签订本合同之日起_________日内，甲方将_________元一次性汇入丙方指定的银行帐户；　　第五条　履行本合同发生争议，各方应友好协商解决；协商不成，任何一方可提交_________市仲裁委员会按该会规则仲裁；　　第六条　本合同正本一式_________份，三方各执_________份；　　第七条　本合同自三方签字盖章之日起生效。　　　　甲方（盖章）：_________　　　　　　　　乙方（盖章）：_________　　　　授权代表（签字）：_________　　　　　　授权代表（签字）：_________　　　　_________年____月____日　　　　　　　　_________年____月____日　　　　丙方（盖章）：_________　　　　授权代表（签字）：_________　　　　_________年____月____日</div>",经销合同
http://hetong.110.com/hetong_17837.html,证券投资基金托管协议,封面应标有“××证券投资基金托管协议”的字样。　　封面下端应标有托管协议当事人名称的全称。　　报送中国证监会审核的稿件，必须标有“送审稿”显著字样。　　 　　 托管协议目录　　托管协议目录自首页开始排印。　　目录应列明具体的标题及相应的页码。　　 　　 托管协议正文　　 　　一、托管协议当事人　　列明订立托管协议当事人的名称、住所、法定代表人、注册资本、经营范围、组织形式、营业期限等。　　 　　二、托管协议的依据、目的和原则　　订明托管协议的依据、目的和原则。例如：　　(一)订立托管协议的依据是《暂行办法》、基金契约及其他有关规定。　　(二)订立托管协议的目的是为了明确基金托管人与基金管理人之间在基金持有人名册的登记、基金资产的保管、基金资产的管理和运作及相互监督等相关事宜中的权利、义务及职责，确保基金资产的安全，保护基金持有人的合法权益。　　(三)订立托管协议的原则是平等自愿、诚实信用。　　 　　三、基金托管人与管理人之间的业务监督、核查　　订明基金托管人与管理人之间业务监督、核查的事项：　　(一)基金托管人如何对基金管理人的投资运作行使监督权，以及发现基金管理人违反《暂行办法》、基金契约及其他有关规定时的处理方式和程序。　　(二)基金管理人如何对基金托管人托管基金资产进行核查，以及发现基金托管人违反《暂行办法》、基金契约及其他有关规定时的处理方式和程序。　　 　　四、基金资产保管　　具体订明下列事项：　　(一)基金托管人应安全保管基金的全部资产；基金资产应独立于基金托管人和基金管理人的资产；　　(二)基金成立时，所募资金的验证事宜；　　(三)基金银行帐户的开设和管理；　　(四)基金证券帐户的开设和管理； 　　(五)基金资产投资的有关实物证券的保管；　　(六)和基金资产有关的重大合同的保管。　　 　　五、投资指令的发送、确认及执行　　具体订明有关基金管理人在运用基金资产时向基金托管人发送资金划拨及其他款项收付的投资指令的事项：　　(一)基金管理人确定可发送投资指令给基金托管人的授权人员名单和权限，并通知基金托管人；　　(二)投资指令的内容；　　(三)投资指令的发送、确认及执行程序；　　(四)授权人员更换的程序。　　 　　六、交易安排　　具体订明下列事项：　　(一)代理证券买卖的证券经营机构的选择标准、程序等；　　(二)基金投资于证券后，有关清算交割安排，以及基金托管人与基金管理人进行资金和证券帐目对帐的时间、方式等；　　(三)封闭式基金成立后，可申请上市及拟上市的证券交易所、拟上市时间；　　开放式基金成立后，基金托管人与基金管理人之间就开放式基金申购与赎回的时间、场所、方式、程序、价格、费用、收款或付款等方面的业务安排。　　(四)基金持有人买卖基金单位的清算、过户与登记方式。　　 　　七、资产净值计算和会计核算　　具体订明下列事项：　　(一)基金资产净值及基金单位每份资产净值计算和复核的完成时间及程序；　　(二)基金托管人和基金管理人按各自职责建立基金帐册并定期对帐的事宜，以及基金财务报表编制和复核的时间、程序。　　 　　八、基金收益分配．　　具体订明基金收益分配的依据、时间及程序等事项。　　 　　九、基金持有人名册的登记与保管　　具体订明基金持有人名册的登记和保管事宜。　　 　　十、信息披露　　(一)说明基金托管人和基金管理人除按《暂行办法》、基金契约及其他有关规定进行信息披露外，基金的信息在公开披露前应予保密，不得向他人泄露。　　(二)订明基金托管人和基金管理人在信息披露中的职责及信息披露程序。　　 　　十一、基金有关文件档案的保存　　说明基金托管人和基金管理人按各自职责完整保存原始凭证、记帐凭证、基金帐册、交易记录和重要合同等，并确定保存期限。　　 　　十二、基金托管人报告　　订明基金托管人在基金年度报告中出具托管人报告的事宜，并在报告中说明上一基金会计年度基金托管人和基金管理人履行基金契约的情况。　　 　　十三、基金托管人和基金管理人的更换　　(一)订明基金管理人提议更换基金托管人的条件及更换程序。　　(二)订明基金托管人提议更换基金管理人的条件及更换程序。　　 　　十四、基金管理人的报酬和基金托管人的托管费　　订明基金管理人的报酬和基金托管人的托管费的计提比例、计提方法、复核程序、支付方式和支付时间等。　　 　　十五、禁止行为　　列明托管协议当事人禁止从事的行为，例如：　　(一)除《暂行办法》、基金契约及其他有关规定另有规定外，基金托管人、基金管理人不得为自己或任何第三人谋取利益；　　(二)基金托管人对基金管理人的正常指令不得拖延或拒绝执行；　　(三)除根据基金管理人的指令或基金契约另有规定外，基金托管人不得动用或处分基金资产；　　(四)基金托管人、基金管理人应当在行政上、财务上相互独立，其高级管理人员不得相互兼职。　　 　　十六、违约责任　　(一)说明由于托管协议当事人过错，造成托管协议不能履行或者不能完全履行的，由有过错的一方承担违约责任；如因托管协议当事人双方的过错，造成托管协议不能履行或者不能完全履行的，根据实际情况，由双方分别承担各自应负的违约责任。　　(二)说明托管协议当事人违反托管协议，应向对方支付违约金。如果违约已给对方造成的损失超过违约金的，还应进行赔偿。　　(三)说明因托管协议当事人违约给基金资产造成实际损害的，应承担的赔偿责任。　　 　　十七、争议的处理　　说明发生纠纷时，当事人可以通过协商或者调解予以解决。当事人不愿通过协商、调解解决或者协商、调解不成的，可以根据基金契约的规定或者事后达成的书面仲裁协议向仲裁机构申请仲裁，或向人民法院起诉。　　 　　十八、托管协议的效力　　(一)托管协议经双方当事人盖章以及双方法定代表人签字，并经中国证监会批准后，自基金成立之日起生效。托管协议的有效期自其生效之日至基金契约终止之日。　　(二)托管协议一式××份，除上报有关监管机构××份外，托管协议每一签约人持有××份，每份具有同等的法律效力。　　 　　十九、托管协议的修改和终止　　(一)订明托管协议的修改程序以及修改部分的效力。　　说明托管协议的修改应当报中国证监会批准。　　(二)订明托管协议终止出现的情形。　　 　　二十、其他事项　　 　　二十一、托管协议当事人盖章及法定代表人签字、签订地、签订日　　基金托管人(章)　　　　　基金管理人(章)　　法定代表人(签字)　　　　法定代表人(签字)　　签订地：　　　　　　　　签订地：　　签订日：　年　月　日　　签订日：　年　月　日,"<div id=""articleBody""> 
<div >
</div>封面应标有“××证券投资基金托管协议”的字样。　　封面下端应标有托管协议当事人名称的全称。　　报送中国证监会审核的稿件，必须标有“送审稿”显著字样。　　 　　 <br/>托管协议目录　　托管协议目录自首页开始排印。　　目录应列明具体的标题及相应的页码。　　 　　 <br/>托管协议正文　　 　　一、托管协议当事人　　列明订立托管协议当事人的名称、住所、法定代表人、注册资本、经营范围、组织形式、营业期限等。　　 　　二、托管协议的依据、目的和原则　　订明托管协议的依据、目的和原则。例如：　　(一)订立托管协议的依据是《暂行办法》、基金契约及其他有关规定。　　(二)订立托管协议的目的是为了明确基金托管人与基金管理人之间在基金持有人名册的登记、基金资产的保管、基金资产的管理和运作及相互监督等相关事宜中的权利、义务及职责，确保基金资产的安全，保护基金持有人的合法权益。　　(三)订立托管协议的原则是平等自愿、诚实信用。　　 　　三、基金托管人与管理人之间的业务监督、核查　　订明基金托管人与管理人之间业务监督、核查的事项：　　(一)基金托管人如何对基金管理人的投资运作行使监督权，以及发现基金管理人违反《暂行办法》、基金契约及其他有关规定时的处理方式和程序。　　(二)基金管理人如何对基金托管人托管基金资产进行核查，以及发现基金托管人违反《暂行办法》、基金契约及其他有关规定时的处理方式和程序。　　 　　四、基金资产保管　　具体订明下列事项：　　(一)基金托管人应安全保管基金的全部资产；基金资产应独立于基金托管人和基金管理人的资产；　　(二)基金成立时，所募资金的验证事宜；　　(三)基金银行帐户的开设和管理；　　(四)基金证券帐户的开设和管理； 　　(五)基金资产投资的有关实物证券的保管；　　(六)和基金资产有关的重大合同的保管。　　 　　五、投资指令的发送、确认及执行　　具体订明有关基金管理人在运用基金资产时向基金托管人发送资金划拨及其他款项收付的投资指令的事项：　　(一)基金管理人确定可发送投资指令给基金托管人的授权人员名单和权限，并通知基金托管人；　　(二)投资指令的内容；　　(三)投资指令的发送、确认及执行程序；　　(四)授权人员更换的程序。　　 　　六、交易安排　　具体订明下列事项：　　(一)代理证券买卖的证券经营机构的选择标准、程序等；　　(二)基金投资于证券后，有关清算交割安排，以及基金托管人与基金管理人进行资金和证券帐目对帐的时间、方式等；　　(三)封闭式基金成立后，可申请上市及拟上市的证券交易所、拟上市时间；　　开放式基金成立后，基金托管人与基金管理人之间就开放式基金申购与赎回的时间、场所、方式、程序、价格、费用、收款或付款等方面的业务安排。　　(四)基金持有人买卖基金单位的清算、过户与登记方式。　　 　　七、资产净值计算和会计核算　　具体订明下列事项：　　(一)基金资产净值及基金单位每份资产净值计算和复核的完成时间及程序；　　(二)基金托管人和基金管理人按各自职责建立基金帐册并定期对帐的事宜，以及基金财务报表编制和复核的时间、程序。　　 　　八、基金收益分配．　　具体订明基金收益分配的依据、时间及程序等事项。　　 　　九、基金持有人名册的登记与保管　　具体订明基金持有人名册的登记和保管事宜。　　 　　十、信息披露　　(一)说明基金托管人和基金管理人除按《暂行办法》、基金契约及其他有关规定进行信息披露外，基金的信息在公开披露前应予保密，不得向他人泄露。　　(二)订明基金托管人和基金管理人在信息披露中的职责及信息披露程序。　　 　　十一、基金有关文件档案的保存　　说明基金托管人和基金管理人按各自职责完整保存原始凭证、记帐凭证、基金帐册、交易记录和重要合同等，并确定保存期限。　　 　　十二、基金托管人报告　　订明基金托管人在基金年度报告中出具托管人报告的事宜，并在报告中说明上一基金会计年度基金托管人和基金管理人履行基金契约的情况。　　 　　十三、基金托管人和基金管理人的更换　　(一)订明基金管理人提议更换基金托管人的条件及更换程序。　　(二)订明基金托管人提议更换基金管理人的条件及更换程序。　　 　　十四、基金管理人的报酬和基金托管人的托管费　　订明基金管理人的报酬和基金托管人的托管费的计提比例、计提方法、复核程序、支付方式和支付时间等。　　 　　十五、禁止行为　　列明托管协议当事人禁止从事的行为，例如：　　(一)除《暂行办法》、基金契约及其他有关规定另有规定外，基金托管人、基金管理人不得为自己或任何第三人谋取利益；　　(二)基金托管人对基金管理人的正常指令不得拖延或拒绝执行；　　(三)除根据基金管理人的指令或基金契约另有规定外，基金托管人不得动用或处分基金资产；　　(四)基金托管人、基金管理人应当在行政上、财务上相互独立，其高级管理人员不得相互兼职。　　 　　十六、违约责任　　(一)说明由于托管协议当事人过错，造成托管协议不能履行或者不能完全履行的，由有过错的一方承担违约责任；如因托管协议当事人双方的过错，造成托管协议不能履行或者不能完全履行的，根据实际情况，由双方分别承担各自应负的违约责任。　　(二)说明托管协议当事人违反托管协议，应向对方支付违约金。如果违约已给对方造成的损失超过违约金的，还应进行赔偿。　　(三)说明因托管协议当事人违约给基金资产造成实际损害的，应承担的赔偿责任。　　 　　十七、争议的处理　　说明发生纠纷时，当事人可以通过协商或者调解予以解决。当事人不愿通过协商、调解解决或者协商、调解不成的，可以根据基金契约的规定或者事后达成的书面仲裁协议向仲裁机构申请仲裁，或向人民法院起诉。　　 　　十八、托管协议的效力　　(一)托管协议经双方当事人盖章以及双方法定代表人签字，并经中国证监会批准后，自基金成立之日起生效。托管协议的有效期自其生效之日至基金契约终止之日。　　(二)托管协议一式××份，除上报有关监管机构××份外，托管协议每一签约人持有××份，每份具有同等的法律效力。　　 　　十九、托管协议的修改和终止　　(一)订明托管协议的修改程序以及修改部分的效力。　　说明托管协议的修改应当报中国证监会批准。　　(二)订明托管协议终止出现的情形。　　 　　二十、其他事项　　 　　二十一、托管协议当事人盖章及法定代表人签字、签订地、签订日　　基金托管人(章)　　　　　基金管理人(章)　　法定代表人(签字)　　　　法定代表人(签字)　　签订地：　　　　　　　　签订地：　　签订日：　年　月　日　　签订日：　年　月　日</div>",经销合同
http://hetong.110.com/hetong_17833.html,委托理财合同(样式二),编号：_________　　　　委托方（甲方）：_________　　营业执照号码（身份证号码）：_________　　发证机关：_________　　联系电话：_________　　　　受托方（乙方）：_________　　身份证号码：_________　　发证机关：_________　　联系电话：_________　　一、兹有甲方将自有资金委托乙方参于证券市场的操作而签订本合同。　　二、乙方在甲方指定的账户内操作，甲方随时监督操作过程和结果，对任何不认可的乙方动作可随时提出异议，若双方意见不一致时可随时终止委托。（委托操作时，若是甲方舍不得换股，乙方就在该品种上做差价，不换品种。若是甲方不留恋原有持股，就按乙方的择股标准换股。）　　三、对盈利部分进行二、八分成，即甲方得80％、乙方得20％，每月底结算壹次，结算后三天内付清。　　四、若当月没有利润则不分成，若产生亏损由甲方承担，乙方除了不收取工资之外不承担赔偿责任。　　五、本合同自委托之日起生效，试行期_________；适用于任何网上操作的股民，只要把甲方帐户和操作密码通知乙方即能双方同时管理同一帐户，若试行期满甲方不满意乙方的操作、可撤销本合同并且乙方不收取盈利分成；若试行后甲方正式委托乙方操作，则从合同生效日起计算盈利分成，至甲方终止委托并完成结算分配之日自动失效。　　六、本合同未尽事项可补充完善，若有与相关法规相悖之处可随时予以纠正，对不违规内容则持续有效。　　　　甲方（签章）：_________　　　　　　　　乙方（签章）：_________　　　　资金账号：_________　　　股东账号：_________　　　　起点市值：_________　　　　签订地点：_________　　　　　　　　　　签订地点：_________,"<div id=""articleBody""> 
<div >
</div>编号：_________　　　　委托方（甲方）：_________　　营业执照号码（身份证号码）：_________　　发证机关：_________　　联系电话：_________　　　　受托方（乙方）：_________　　身份证号码：_________　　发证机关：_________　　联系电话：_________　　一、兹有甲方将自有资金委托乙方参于证券市场的操作而签订本合同。　　二、乙方在甲方指定的账户内操作，甲方随时监督操作过程和结果，对任何不认可的乙方动作可随时提出异议，若双方意见不一致时可随时终止委托。（委托操作时，若是甲方舍不得换股，乙方就在该品种上做差价，不换品种。若是甲方不留恋原有持股，就按乙方的择股标准换股。）　　三、对盈利部分进行二、八分成，即甲方得80％、乙方得20％，每月底结算壹次，结算后三天内付清。　　四、若当月没有利润则不分成，若产生亏损由甲方承担，乙方除了不收取工资之外不承担赔偿责任。　　五、本合同自委托之日起生效，试行期_________；适用于任何网上操作的股民，只要把甲方帐户和操作密码通知乙方即能双方同时管理同一帐户，若试行期满甲方不满意乙方的操作、可撤销本合同并且乙方不收取盈利分成；若试行后甲方正式委托乙方操作，则从合同生效日起计算盈利分成，至甲方终止委托并完成结算分配之日自动失效。　　六、本合同未尽事项可补充完善，若有与相关法规相悖之处可随时予以纠正，对不违规内容则持续有效。　　　　甲方（签章）：_________　　　　　　　　乙方（签章）：_________　　　　资金账号：_________　　　股东账号：_________　　　　起点市值：_________　　　　签订地点：_________　　　　　　　　　　签订地点：_________</div>",经销合同
http://hetong.110.com/hetong_17834.html,委托理财合同(样式一),甲方：_______________ 身份证号：____________________　　　　乙方：_______________ 身份证号：____________________　　　　甲乙双方经过友好协商，本着平等互利、友好合作的意愿达成本合同，并郑重声明共同遵守。　　一、乙方委托甲方代理操作乙方在________________（证券营业部）开设的资金账户，资金账号为_________________ 。交易密码甲乙双方共享，乙方可以查询，但不能操作。　　二、期限一年，起始日期___________，截止日期____________，期初资产_____________ 元。　　三、利润定义：（乙方账户）期末资产 - 期初资产 - 期间收到的存款利息（证券资产要扣除交易费用）　　利润率=利润/期初资产*100%　　四、结算　　　　1．委托期满后，如果利润率大于等于　5%，乙方付给甲方超出　5%部分的25%作为佣金， 如果利润率为负数且小于-5%，即亏损大于5%，甲方付给乙方超出5%部分的25%作为赔偿。举例说明，如果资金100万，到期利润10万，乙方应付给甲方（10-5）* 0.25=1.25万元，如果到期亏损10万，甲方应付给乙方（10-5）* 0.25=1.25万元，如果利润在-5万与5万之间，乙方自己承担/享有。　　2．未到委托结束日期，乙方要存、取款，如果此时利润为正数，乙方付给甲方利润的25%作为佣金。　　3．甲乙结算金额精确到百元，百元以下舍去不计。　　五、合同期内如果亏损大于　 %，乙方有权终止合同，并按第四条委托期满后的结算方法进行结算。合同期内如果利润大于　 %，甲方有权终止合同，并按第四条委托期满后的结算方法进行结算。结算后，可重新签定合同。　　本合同一式两份，甲、乙各一份，签字/盖章后生效　　　　　　甲方签字：　　乙方签字：　　　　日期：,"<div id=""articleBody""> 
<div >
</div>甲方：_______________ 身份证号：____________________　　　　乙方：_______________ 身份证号：____________________　　　　甲乙双方经过友好协商，本着平等互利、友好合作的意愿达成本合同，并郑重声明共同遵守。　　一、乙方委托甲方代理操作乙方在________________（证券营业部）开设的资金账户，资金账号为_________________ 。交易密码甲乙双方共享，乙方可以查询，但不能操作。　　二、期限一年，起始日期___________，截止日期____________，期初资产_____________ 元。　　三、利润定义：（乙方账户）期末资产 - 期初资产 - 期间收到的存款利息（证券资产要扣除交易费用）　　利润率=利润/期初资产*100%　　四、结算　　　　1．委托期满后，如果利润率大于等于　5%，乙方付给甲方超出　5%部分的25%作为佣金， 如果利润率为负数且小于-5%，即亏损大于5%，甲方付给乙方超出5%部分的25%作为赔偿。举例说明，如果资金100万，到期利润10万，乙方应付给甲方（10-5）* 0.25=1.25万元，如果到期亏损10万，甲方应付给乙方（10-5）* 0.25=1.25万元，如果利润在-5万与5万之间，乙方自己承担/享有。　　2．未到委托结束日期，乙方要存、取款，如果此时利润为正数，乙方付给甲方利润的25%作为佣金。　　3．甲乙结算金额精确到百元，百元以下舍去不计。　　五、合同期内如果亏损大于　 %，乙方有权终止合同，并按第四条委托期满后的结算方法进行结算。合同期内如果利润大于　 %，甲方有权终止合同，并按第四条委托期满后的结算方法进行结算。结算后，可重新签定合同。　　本合同一式两份，甲、乙各一份，签字/盖章后生效　　　　　　甲方签字：　　乙方签字：　　　　日期：</div>",经销合同
http://hetong.110.com/hetong_18694.html,特许经销合同,特许经销合同    甲方：    乙方：    甲方为专门从事研制温泉沐浴品的有限责任公司，其生产的产品“浴用松脂粉”已在部分矿区内使用近十年，深受欢迎和喜爱。并经上海市技监局检测属安全产品。乙方作为矿务集团的实业公司在当地具有广泛的客户资源及良好的社会关系，有丰富及众多产品代理及经销经验。    甲、乙双方经多次友好协商，在互惠互利，发挥各自特点的原则下，乙方同意完成年销量吨，首次订货量不低于吨。甲方授权乙方为产品的总代理商。双方特订立条款如下：    一、经销产品    浴用松脂粉    二、地区范围    甲、乙双方确定乙方的总代理地区为矿务局下属煤矿。    三、代理期限    自本协议签订之日起乙方代理资格自然生效，有效期为一年，到期双方另行商定。    四、产品价格（特殊规格价格另定）    浴用松脂粉：人民币_________/吨（结算价）    人民币14500.00/吨（建议销售价）    五、订、供货及结算    1.自年月日起，甲方根据乙方订货单的订货量和交货期进行供货。    2.乙方首次订货须先支付全额货款的%，余额货到结清。    3.乙方订货单须以文字方式通知甲方。    4.乙方在每月25日至30日内向甲方支付当月所提货物的全部货款，甲方根据乙方提供的税号、账号以及金额开具增值税发票。    5.乙方一次提（发）货数量在5吨以上时须提前5天以传真形式通知甲方，以便甲方统一生产调配。    六、产品质量    1.甲方对其产品在设计和制造方面的质量全面负责。如出现质量问题由甲方承担责任。    2.甲方有权随时对产品进行升级换代或生产衍生的系列产品，对新型号产品进行价格调整（包括供货价，零售价及批发价）。    3.甲方设立全国统一产品质量服务咨询电话，全面负责公司产品的质量咨询。021—62846004    七、产品包装    内包装：塑料袋包装，每袋5公斤。    外包装：纸箱包装，每箱25公斤。    八、货物运输    甲方负责产品以火车运输方式运送至乙方所在地的火车托运站。其费用由甲方负担。    九、甲、乙双方责任    1.乙方在代理销售甲方的产品时，以甲方的代理人名义独立进行合法的营销活动，并为此负一切经济法律责任。    2.乙方必须排它性的专营甲方产品，不得经营与甲方产品有竞争的同类产品。    3.乙方提供仓储场地，及时向用户单位供货，按时结算货款，定期向甲方反馈产品在使用中的各类情况。    十、其它    1.乙方有义务、责任采取有效措施维护甲方产品技术专利和正当的商业利益不受侵犯，如有任何侵权行为应立即向甲方及当地工商部门报告，并尽最大努力配合甲方消除这种侵权，甲方为此承担费用。    2.甲方在合同有效期内不得在乙方特许地区自行销售或再授权其它经营单位，特许地区的自行上门的产品订单也必须转交乙方执行。    3.不可抗力    如甲乙双方在执行本合同条款中遇到不可抗力之因素致使无法执行、受影响方可以不承担责任。但事件方须在事件发生后二个工作日内以电报或传真方式通知对方，并应主动采取一切有效措施把损害减少到最低程度。    4.本合同在履行过程中如发生争议，应通过友好协商解决，协商不成，将提交上海市中级人民法院裁决。    十一、本合同一式二份，甲乙双方各执一份。    甲方：上海京日温泉沐浴品有限公司              乙方：    代表：                                        代表：    签约地点：                                    签约日期：,"<div id=""articleBody""> 
<div >
</div>&#13;
     特许经销合同<br/><br/>    甲方：<br/>    乙方：<br/>    甲方为专门从事研制温泉沐浴品的有限责任公司，其生产的产品“浴用松脂粉”已在部分矿区内使用近十年，深受欢迎和喜爱。并经上海市技监局检测属安全产品。乙方作为矿务集团的实业公司在当地具有广泛的客户资源及良好的社会关系，有丰富及众多产品代理及经销经验。<br/>    甲、乙双方经多次友好协商，在互惠互利，发挥各自特点的原则下，乙方同意完成年销量吨，首次订货量不低于吨。甲方授权乙方为产品的总代理商。双方特订立条款如下：<br/>    一、经销产品<br/>    浴用松脂粉<br/>    二、地区范围<br/>    甲、乙双方确定乙方的总代理地区为矿务局下属煤矿。<br/>    三、代理期限<br/>    自本协议签订之日起乙方代理资格自然生效，有效期为一年，到期双方另行商定。<br/>    四、产品价格（特殊规格价格另定）<br/>    浴用松脂粉：人民币_________/吨（结算价）<br/>    人民币14500.00/吨（建议销售价）<br/>    五、订、供货及结算<br/>    1.自年月日起，甲方根据乙方订货单的订货量和交货期进行供货。<br/>    2.乙方首次订货须先支付全额货款的%，余额货到结清。<br/>    3.乙方订货单须以文字方式通知甲方。<br/>    4.乙方在每月25日至30日内向甲方支付当月所提货物的全部货款，甲方根据乙方提供的税号、账号以及金额开具增值税发票。<br/>    5.乙方一次提（发）货数量在5吨以上时须提前5天以传真形式通知甲方，以便甲方统一生产调配。<br/>    六、产品质量<br/>    1.甲方对其产品在设计和制造方面的质量全面负责。如出现质量问题由甲方承担责任。<br/>    2.甲方有权随时对产品进行升级换代或生产衍生的系列产品，对新型号产品进行价格调整（包括供货价，零售价及批发价）。<br/>    3.甲方设立全国统一产品质量服务咨询电话，全面负责公司产品的质量咨询。021—62846004<br/>    七、产品包装<br/>    内包装：塑料袋包装，每袋5公斤。<br/>    外包装：纸箱包装，每箱25公斤。<br/>    八、货物运输<br/>    甲方负责产品以火车运输方式运送至乙方所在地的火车托运站。其费用由甲方负担。<br/>    九、甲、乙双方责任<br/>    1.乙方在代理销售甲方的产品时，以甲方的代理人名义独立进行合法的营销活动，并为此负一切经济法律责任。<br/>    2.乙方必须排它性的专营甲方产品，不得经营与甲方产品有竞争的同类产品。<br/>    3.乙方提供仓储场地，及时向用户单位供货，按时结算货款，定期向甲方反馈产品在使用中的各类情况。<br/>    十、其它<br/>    1.乙方有义务、责任采取有效措施维护甲方产品技术专利和正当的商业利益不受侵犯，如有任何侵权行为应立即向甲方及当地工商部门报告，并尽最大努力配合甲方消除这种侵权，甲方为此承担费用。<br/>    2.甲方在合同有效期内不得在乙方特许地区自行销售或再授权其它经营单位，特许地区的自行上门的产品订单也必须转交乙方执行。<br/>    3.不可抗力<br/>    如甲乙双方在执行本合同条款中遇到不可抗力之因素致使无法执行、受影响方可以不承担责任。但事件方须在事件发生后二个工作日内以电报或传真方式通知对方，并应主动采取一切有效措施把损害减少到最低程度。<br/>    4.本合同在履行过程中如发生争议，应通过友好协商解决，协商不成，将提交上海市中级人民法院裁决。<br/>    十一、本合同一式二份，甲乙双方各执一份。<br/>    甲方：上海京日温泉沐浴品有限公司              乙方：<br/>    代表：                                        代表：<br/>    签约地点：                                    签约日期：<br/><br/><br/><br/></div>",经销合同
